PLAYER,TEAM,DFGM,DFGA,DFG%,FG%,MIN,SCREEN ASSISTS,SCREEN ASSISTS PTS,DEFLECTIONS,OFF LOOSE BALLS RECOVERED,DEF LOOSE BALLS RECOVERED,LOOSE BALLS RECOVERED,RECOVERED OFF,RECOVERED DEF,CHARGES DRAWN,CONTESTED 2PT SHOTS,CONTESTED 3PT SHOTS,TOTAL CONTESTED SHOTS,DIST. FEET,FEET PER MIN,DIST. MILES,DIST. MILES OFF,DIST. MILES DEF,AVG SPEED,AVG SPEED OFF,AVG SPEED DEF
Patrick Williams,CHI,5.2,11.1,47.1,47.4,28.3,0.8,1.9,1.9,0.2,0.2,0.4,42.4,57.6,0.02,3,2.5,5.5,11272.9,398.34,2.14,1.11,1.03,4.26,4.57,3.96
Chris Paul,PHX,5.2,11.1,47,47.1,32,0.3,0.8,2.4,0.3,0.5,0.8,37,63,0.05,1.1,1.6,2.8,10729.3,335.29,2.03,1.13,0.9,3.57,3.93,3.2
Damian Lillard,POR,5.7,11.1,50.9,47.3,36.3,0.2,0.3,1.6,0.3,0.4,0.7,44.7,55.3,0.09,1.3,1.5,2.8,13547.9,373.22,2.57,1.46,1.11,3.96,4.46,3.45
Kelly Oubre Jr.,CHA,5.7,11.1,51.7,47.1,32.2,0.3,0.7,3.2,0.3,0.3,0.7,51.5,48.5,0,2.2,1.8,4,12756.5,396.16,2.42,1.29,1.13,4.2,4.49,3.9
Alex Caruso,CHI,4.9,11.1,44.4,46.9,23.5,0.8,1.9,3.4,0.2,0.4,0.6,35.9,64.1,0.21,2.4,2.9,5.3,9734.7,414.24,1.84,0.96,0.88,4.37,4.71,4.05
Victor Oladipo,MIA,5.3,11.1,47.6,46.1,26.3,0.2,0.5,2.4,0.3,0.3,0.6,47.8,52.2,0.21,1.6,2.2,3.8,9871.1,375.33,1.87,1.02,0.85,3.95,4.26,3.62
Dwight Powell,DAL,5.4,11,48.6,49,19.2,3,7,1.2,0.2,0.2,0.4,53.1,46.9,0.01,5.8,1.6,7.4,7779,405.16,1.47,0.79,0.68,4.33,4.51,4.13
Aaron Gordon,DEN,5.1,11,46,48.1,30.2,0.9,2.1,1.2,0.4,0.3,0.8,54.9,45.1,0.01,3.9,1.6,5.5,11320.4,374.85,2.14,1.12,1.02,3.99,4.22,3.77
Spencer Dinwiddie,BKN,5.5,11,50,47.3,34.5,0.4,0.9,1.1,0.2,0.2,0.4,50,50,0.05,2.2,2,4.3,12441.3,360.62,2.36,1.33,1.03,3.84,4.23,3.43
Justin Minaya,POR,5.5,11,50,46.3,22.2,0,0,2,0,0.3,0.3,0,100,0,2,0.5,2.5,8865.3,399.34,1.68,0.84,0.84,4.56,4.66,4.47
Jacob Gilyard,MEM,8,11,72.7,46.2,40.8,0,0,4,0,1,1,0,100,0,1,0,1,16076,394.02,3.04,1.54,1.51,4.14,4.39,3.91
Meyers Leonard,MIL,6,11,54.5,48.4,12.6,1.4,3.6,0.2,0.1,0.1,0.2,50,50,0,4.3,0.8,5.1,4610.2,365.89,0.87,0.49,0.38,3.88,4.12,3.52
Cameron Johnson,BKN,5.1,11,46.3,47.4,28.6,0.6,1.4,2.5,0.3,0.2,0.5,55,45,0.12,2.9,2.2,5.2,11229.1,392.63,2.13,1.16,0.97,4.18,4.55,3.81
Robert Williams III,BOS,4.5,10.9,41.5,47.8,23.5,2.7,6.5,0.9,0.5,0.4,0.9,56.7,43.3,0,4.3,3.1,7.3,8897.2,378.60,1.69,0.91,0.78,4.03,4.28,3.77
Kyle Anderson,MIN,5.2,10.9,47.7,47.6,28.4,0.6,1.4,2.4,0.2,0.3,0.5,41.2,58.8,0.01,2.9,2.1,5,10832.6,381.43,2.05,1.09,0.96,4.03,4.33,3.75
Bobby Portis,MIL,5.2,10.9,47.6,48.3,26,1.3,3,0.8,0.3,0.2,0.5,62.2,37.8,0,3.2,2.3,5.5,10463.2,402.43,1.98,1.07,0.91,4.29,4.6,3.97
Darius Garland,CLE,5.2,10.9,47.7,45.8,35.5,0.2,0.5,2,0.2,0.3,0.6,38.5,61.5,0.1,1.6,1.9,3.5,13853.1,390.23,2.62,1.45,1.17,4.14,4.53,3.73
Jimmy Butler,MIA,5.2,10.8,47.6,47.1,33.4,0.8,1.9,3.2,0.3,0.3,0.6,52.5,47.5,0.08,1.6,1.6,3.2,12571.8,376.40,2.38,1.26,1.12,4,4.17,3.82
Caris LeVert,CLE,5.2,10.8,48.1,46.7,30.2,0.2,0.6,2,0.4,0.5,0.8,45.9,54.1,0.08,2.2,1.7,4,11693.6,387.21,2.21,1.2,1.01,4.08,4.32,3.83
Jarred Vanderbilt,LAL,5.5,10.8,51.2,48.8,24.1,1.9,4.6,2.2,0.3,0.4,0.7,49.1,50.9,0,2.7,1.6,4.3,9946.8,412.73,1.88,0.99,0.9,4.38,4.55,4.22
Nick Richards,CHA,5.6,10.8,51.9,50.6,18.7,2.9,6.4,0.6,0.1,0.1,0.2,63.6,36.4,0.03,5.3,1.1,6.4,7841.3,419.32,1.49,0.79,0.69,4.44,4.73,4.14
Kyle Lowry,MIA,5.2,10.8,48.6,46.9,31.2,0.6,1.4,1.9,0.1,0.4,0.6,22.6,77.4,0.24,1.6,1.7,3.3,10880.9,348.75,2.06,1.13,0.93,3.69,3.99,3.39
Trae Young,ATL,5.2,10.7,48.4,45.7,34.8,0.1,0.1,1.8,0.3,0.3,0.6,51.1,48.9,0.07,0.5,1.1,1.6,13130,377.30,2.49,1.37,1.12,3.99,4.46,3.53
